x,y,z
5.669010583135820625e-01,-3.699381913763676866e-01,1.166946484698547504e-01
5.663981897712315750e-01,-3.697158877772381280e-01,1.140943939931060858e-01
5.659086929094434559e-01,-3.694702553772180598e-01,1.116602481934414332e-01
5.654336994397912708e-01,-3.692287744348462519e-01,1.093950277935836629e-01
5.650125190893217075e-01,-3.691466906451655872e-01,1.073739325640774150e-01
5.646783438564632052e-01,-3.689532670619138366e-01,1.055159227198930738e-01
5.644152672540412308e-01,-3.686174625641634450e-01,1.037909984564022448e-01
5.642178238753664532e-01,-3.681640518233879611e-01,1.021966519203791612e-01
5.640813492742602353e-01,-3.676171923639293682e-01,1.007309635464102848e-01
5.640008857797239594e-01,-3.669988164470675551e-01,9.939112530967561532e-02
5.639711341601489902e-01,-3.663286800691595291e-01,9.817340560502126057e-02
5.639866110083889827e-01,-3.656243840869293216e-01,9.707328671726045410e-02
5.640417842207454679e-01,-3.649014249053126879e-01,9.608560080118723479e-02
5.641311860647461041e-01,-3.641732708139077124e-01,9.520466068510835544e-02
