%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
120405000000,0.5893450504562256,-0.09550988723178747,0.18275551742438179,0.707110434588907,0.7070959911317146,0.0004960641559458781,-0.0005066016343610751
120413000000,0.5893442334017368,-0.09550770408748732,0.18275020840050982,0.7071093599713766,0.7070970666775553,0.0004939303060223347,-0.0005073898662845818
120413000000,0.5893442306934445,-0.09550770290930843,0.182750203205399,0.7071093599857662,0.7070970666631794,0.0004939285239497787,-0.0005073915818836246
120415000000,0.5893442279705556,-0.09550770176536,0.1827501977681458,0.7071093600040151,0.7070970666449558,0.0004939268993002942,-0.0005073931282279066
120419000000,0.5893442270626897,-0.09550770211049177,0.18275019413562948,0.7071093597134795,0.7070970669391591,0.0004939254821879398,-0.0005073893957339879
120421000000,0.5893442268599309,-0.0955077038149856,0.18275019063544723,0.7071093594284059,0.7070970672305483,0.0004939228574426308,-0.0005073831484862648
120424000000,0.5893442269011062,-0.09550770634317328,0.1827501879007541,0.7071093592149807,0.707097067451496,0.0004939200518194857,-0.0005073753956666528
120427000000,0.5893442272157967,-0.09550770934124456,0.18275018628931683,0.7071093590531473,0.7070970676211588,0.0004939173821083317,-0.0005073670829791516
120434000000,0.5893442275973029,-0.09550771261932428,0.18275018517319655,0.7071093589387992,0.7070970677431943,0.0004939145148528916,-0.0005073591599361443
120435000000,0.589344227962545,-0.0955077160996844,0.18275018448970368,0.7071093588720262,0.7070970678173093,0.0004939116373284585,-0.0005073517284932822
120438000000,0.5893428581891453,-0.09551135998813931,0.1827508899673217,0.7071092967272865,0.7070971331237368,0.0004913325826023612,-0.0005054456705020672
120440000000,0.5893428585646601,-0.09551136374021409,0.18275089053062674,0.7071092967489405,0.7070971331083111,0.000491330076973093,-0.0005054393928231356
120448000000,0.5893450431026078,-0.09550991529634703,0.18275549048754908,0.7071104336558731,0.7070959921333866,0.0004960314170645921,-0.0005065378849628655
120450000000,0.5893450439708663,-0.0955099180049063,0.18275549225373827,0.7071104341466702,0.7070959916447863,0.0004960322018163637,-0.0005065340493979431
120453000000,0.5893450456529717,-0.0955099183732453,0.18275549419956422,0.7071104347901913,0.7070959909985417,0.0004960379401910426,-0.0005065322305046535
120465000000,0.5893442294538263,-0.09550773511515606,0.18275019455600688,0.7071093610370355,0.7070970656631124,0.0004939169229868003,-0.0005073315185592491
