time,fext_field.header.seq,fext_field.header.stamp,fext_field.header.frame_id,fext_field.wrench.force.x,fext_field.wrench.force.y,fext_field.wrench.force.z,fext_field.wrench.torque.x,fext_field.wrench.torque.y,fext_field.wrench.torque.z,eevel_field.linear.x,eevel_field.linear.y,eevel_field.linear.z,eevel_field.angular.x,eevel_field.angular.y,eevel_field.angular.z,eepose_field.position.x,eepose_field.position.y,eepose_field.position.z,eepose_field.orientation.x,eepose_field.orientation.y,eepose_field.orientation.z,eepose_field.orientation.w,twist_cmd_field.linear.x,twist_cmd_field.linear.y,twist_cmd_field.linear.z,twist_cmd_field.angular.x,twist_cmd_field.angular.y,twist_cmd_field.angular.z,alpha_field.data,betar_field.data,betas_field.data,s_field.data,sdot_field.data,z_field.data,Dmat_field.layout.data_offset,Dmat_field.data0,Dmat_field.data1,Dmat_field.data2,Dmat_field.data3,Dmat_field.data4,Dmat_field.data5,Dmat_field.data6,Dmat_field.data7,Dmat_field.data8,eigval0_field.data,t_s,wdot
87435000000.0,29089,87435000000,panda_K,0.273470095527073,-5.2442054267241325,1.847028478259428,-0.4544540446368715,-0.1401803610526526,-0.361531939797712,0.0117142998433941,-0.1859157885066397,0.1339248556612891,0.0221680524433436,-0.0019891819853494,-0.015603302409741,0.5934425348300192,-0.1119906497353904,0.1911451650374621,0.9994032085085168,-0.0306957425631628,0.014483609085287,0.0060352077697094,0.0171002267416292,-0.2032202591830078,0.135039465536341,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.1397927996158478e-07,9999.999996451455,-9.452114632699898e-07,0.029448691290047,0,150.00000000000003,-3.5527136788005016e-14,1.1546319456101628e-14,-2.8421709430404014e-14,149.99999999999997,-1.4210854715202004e-14,2.5757174171303632e-14,-1.4210854715202004e-14,150.00000000000003,150.0,1726000000.0,-3.506043063258986
87438000000.0,29090,87438000000,panda_K,0.2428548009198332,-5.036725498114489,1.7839313560051109,-0.4267581028688647,-0.1429190261675012,-0.3470817838940824,0.0114345027987209,-0.1866980471979159,0.1341373626425215,0.0261971782783183,-0.0021472400378894,-0.0150853016868298,0.5934815136974129,-0.1125383840997711,0.1915454135859139,0.9994027524187878,-0.0307182557742191,0.0144869654005805,0.0059879462557553,0.0171002267416292,-0.2032202591830078,0.135039465536341,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.142423460860244e-07,9999.9999964486,-9.469550635367304e-07,0.0294667878464962,0,149.99999999999997,1.4210854715202004e-14,8.881784197001252e-16,1.7763568394002505e-14,149.9999999999999,-4.263256414560601e-14,8.881784197001252e-16,-4.263256414560601e-14,150.0000000000001,150.0,1729000000.0,-3.551697579491253
87441000000.0,29091,87441000000,panda_K,0.3208410859953009,-4.803295453364339,1.2457736534047912,-0.4169841512675736,-0.0704760031565158,-0.3300371868617059,0.0109768057775062,-0.1875078769214999,0.134191473600249,0.0301302590323664,-0.0017713896462502,-0.0144621552078205,0.5935194887150606,-0.1130885158108496,0.1919460980458431,0.999402351037306,-0.0307400463238546,0.014490265422604,0.0059348918778167,0.0171002267416292,-0.2032202591830078,0.135039465536341,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.140212262968788e-07,9999.999996445707,-9.454894114682812e-07,0.0294515775614534,0,150.0,-1.7763568394002505e-15,-2.664535259100376e-15,-3.552713678800501e-15,149.99999999999997,-1.4210854715202004e-14,8.881784197001252e-16,-1.4210854715202004e-14,150.00000000000003,150.0,1732000000.0,-3.610971699987991
87444000000.0,29092,87444000000,panda_K,0.2248695079847132,-4.609477722463203,1.2644071819978169,-0.3866699477686852,-0.1075784747764474,-0.3174770328272212,0.0105129154465696,-0.1881645118614557,0.1343207937506535,0.0338583215427384,-0.0015719641969862,-0.0140211118259888,0.5935557703612654,-0.1136406782305809,0.1923467776036043,0.9994020251048727,-0.0307609964065153,0.0144922920944972,0.0058759867701114,0.0171002267416292,-0.2032202591830078,0.135039465536341,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.139060339967358e-07,9999.999996442864,-9.44726180403408e-07,0.029443650659672,0,150.0,-1.0658141036401504e-14,1.8651746813702636e-14,-3.552713678800501e-15,150.0,0.0,1.8651746813702636e-14,1.4210854715202004e-14,150.0,150.0,1735000000.0,-3.643691772453679
87447000000.0,29093,87447000000,panda_K,0.197708511935485,-4.434305166111258,1.2002363656756594,-0.3592591819176405,-0.1055898644932765,-0.3051813195990027,0.0102606889805563,-0.1888173052224935,0.1344852853324909,0.0371451485067461,-0.0018999579696952,-0.0134639567533497,0.5935912258173551,-0.1141948789347697,0.1927481776736093,0.9994017383903288,-0.030781313968917,0.0144947818729413,0.0058118619653019,0.0162965631101901,-0.2029924203427776,0.1321540793994371,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.1407381534110925e-07,9999.999996440012,-9.458379196604912e-07,0.0294551957417651,0,149.99999999999997,-2.8421709430404014e-14,-9.769962616701378e-15,-3.5527136788005016e-14,149.9999999999999,-5.684341886080804e-14,-9.769962616701378e-15,-5.684341886080804e-14,150.00000000000006,150.0,1738000000.0,-3.6830453035944317
87450000000.0,29094,87450000000,panda_K,0.1661437713122892,-4.2532683777693405,1.1965651860671642,-0.3359657115281094,-0.1117678393873637,-0.2928414265561962,0.0100004955244577,-0.1895129785071702,0.1344939528508277,0.0399560201996198,-0.0022611776494356,-0.0129795111772679,0.5936259061763394,-0.1147511617072654,0.1931496817727917,0.9994014882202104,-0.0308009767035522,0.0144975995376957,0.0057432749783556,0.0162965631101901,-0.2029924203427776,0.1321540793994371,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.139683638047174e-07,9999.999996437124,-9.451391342529324e-07,0.0294479401190367,0,149.99999999999997,5.684341886080804e-14,-5.1514348342607263e-14,5.684341886080804e-14,150.00000000000006,-1.4210854715202004e-14,-4.5297099404706393e-14,-1.4210854715202004e-14,149.99999999999994,150.0,1741000000.0,-3.7199440387757234
87453000000.0,29095,87453000000,panda_K,0.2076196496956615,-4.054059207203592,0.6117760541640788,-0.3255789538125727,-0.0591507754541588,-0.2807479988370052,0.0091841706168685,-0.1901238958559289,0.1340953485867126,0.0432041393233474,-0.000583176069992,-0.0124003807509991,0.5936585791196448,-0.115309312896874,0.1935502325058344,0.9994013193146806,-0.0308196752703036,0.0144983918007066,0.0056698871651565,0.0162965631101901,-0.2029924203427776,0.1321540793994371,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.1171552710974603e-07,9999.99999643431,-9.302516785084116e-07,0.0292925036930212,0,149.99999999999986,-7.176481631177012e-13,5.240252676230739e-13,-7.105427357601002e-13,149.99999999999926,-1.8474111129762605e-13,5.37347943918576e-13,-1.9895196601282805e-13,150.0000000000009,150.0,1744000000.0,-3.7674676655485757
87456000000.0,29096,87456000000,panda_K,0.1606407524588362,-3.8918985539911297,0.5789131686047664,-0.3006492645331651,-0.0646202073129146,-0.2678197499916318,0.0089482167677193,-0.190657660962102,0.1342453361982068,0.0459795791766748,-0.0011497652422444,-0.0119055230493557,0.5936901305158736,-0.1158691373725805,0.1939510049844472,0.999401183408177,-0.0308378183876494,0.0144993612047394,0.0055921816558529,0.0156904784268308,-0.2028047099946727,0.1299684472029421,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.118977383558374e-07,9999.9999964315,-9.314528572612588e-07,0.0293051061624353,0,149.99999999999986,7.673861546209082e-13,-4.938272013532696e-13,7.673861546209082e-13,150.00000000000014,-5.684341886080804e-14,-4.9471537977297e-13,-7.105427357601003e-14,150.0,150.0,1747000000.0,-3.7983921803533707
87459000000.0,29097,87459000000,panda_K,0.1259357866269161,-3.7365405401753407,0.608733435121946,-0.2779568087302629,-0.0748143775701012,-0.2573875400216071,0.0086874916703244,-0.1912511472391982,0.1340645336302842,0.0481584662216562,-0.0014101456070614,-0.0114435619029244,0.5937209119223381,-0.116430728435056,0.1943514714914818,0.9994010754893486,-0.0308553306930295,0.0145006562659366,0.0055109212313723,0.0156904784268308,-0.2028047099946727,0.1299684472029421,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.1593777899120425e-07,9999.99999642867,-9.58218039734532e-07,0.0295831525996635,0,150.0,3.0198066269804264e-14,-1.7763568394002505e-14,3.1974423109204515e-14,150.00000000000003,-2.8421709430404014e-14,-1.8651746813702636e-14,0.0,150.0,150.0,1750000000.0,-3.7790069721046
87462000000.0,29098,87462000000,panda_K,0.1670931762688884,-3.537472565074092,0.1809220496577693,-0.2716096722821164,-0.0257275739520512,-0.2445501070279228,0.0081083452137093,-0.1917937029669563,0.1336288376035188,0.0505471808618927,-0.0005847626676437,-0.010826956075076,0.5937504145491539,-0.1169940896426102,0.194750969420666,0.9994010100006316,-0.0308720638560966,0.0145014607547484,0.0054263173889797,0.0156904784268308,-0.2028047099946727,0.1299684472029421,-0.0,-0.0,-0.0,5.551115123125783e-17,1.0,2.089286603723651e-07,9999.999996425906,-9.119445378524262e-07,0.0290990725951666,0,150.00000000000003,1.7763568394002505e-15,-8.881784197001252e-16,0.0,150.0,1.4210854715202004e-14,-8.881784197001252e-16,2.8421709430404014e-14,150.00000000000003,150.0,1753000000.0,-3.8711722873895336
