%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8
89972000000,0,150.0,8.881784197001252e-16,3.552713678800501e-15,-6.217248937900877e-15,150.00000000000003,-8.881784197001252e-15,0.0,-8.881784197001252e-15,150.0
89973000000,0,149.99999999999997,1.865174681370263e-14,0.0,2.220446049250313e-14,150.00000000000003,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,150.0
89974000000,0,149.99999999999997,7.993605777301127e-15,1.0658141036401503e-14,8.881784197001252e-16,150.0,-7.105427357601002e-15,1.0658141036401503e-14,-7.105427357601002e-15,150.0
89975000000,0,150.00000000000043,-3.97015753605956e-13,-2.842170943040401e-14,-4.11226608321158e-13,149.99999999999955,8.348877145181177e-14,-3.197442310920451e-14,8.348877145181177e-14,150.0
89976000000,0,149.99999999999997,7.993605777301127e-15,2.4868995751603507e-14,1.509903313490213e-14,150.0,-5.329070518200751e-15,2.4868995751603507e-14,-3.552713678800501e-15,150.0
89977000000,0,149.99999999999997,-3.4638958368304884e-14,1.4210854715202004e-14,-2.042810365310288e-14,150.0,5.329070518200751e-15,1.4210854715202004e-14,5.329070518200751e-15,150.0
89978000000,0,150.0,-2.042810365310288e-14,1.7763568394002505e-14,-3.4638958368304884e-14,150.00000000000006,1.0658141036401503e-14,2.1316282072803006e-14,1.0658141036401503e-14,150.0
89979000000,0,150.00000000000009,3.6415315207705135e-14,2.1316282072803006e-14,5.062616992290714e-14,149.99999999999991,4.263256414560601e-14,2.1316282072803006e-14,4.440892098500626e-14,150.0
89980000000,0,149.99999999999997,4.884981308350689e-15,7.105427357601002e-15,4.6629367034256575e-15,150.0,-7.993605777301127e-15,7.105427357601002e-15,-7.993605777301127e-15,150.0
89981000000,0,150.0,-5.1958437552457326e-14,-3.552713678800501e-15,-4.5075054799781356e-14,150.00000000000003,1.4210854715202004e-14,-3.552713678800501e-15,1.5987211554602254e-14,150.0
89982000000,0,150.00000000000003,-9.325873406851315e-15,-2.1316282072803006e-14,-1.3100631690576847e-14,150.0,-4.884981308350689e-14,-2.1316282072803006e-14,-4.884981308350689e-14,150.0
89983000000,0,150.0,4.884981308350689e-15,0.0,4.6629367034256575e-15,149.99999999999997,5.329070518200751e-15,0.0,4.440892098500626e-15,150.0
89984000000,0,149.99999999999994,-9.325873406851315e-15,1.0658141036401503e-14,-9.547918011776346e-15,150.0,-2.042810365310288e-14,1.0658141036401503e-14,-2.042810365310288e-14,150.0
89985000000,0,150.00000000000006,4.884981308350689e-15,0.0,4.6629367034256575e-15,150.0,-8.881784197001252e-16,0.0,8.881784197001252e-16,150.0
89986000000,0,149.99999999999991,-2.531308496145357e-14,-2.842170943040401e-14,-2.55351295663786e-14,150.00000000000003,2.4868995751603507e-14,-2.842170943040401e-14,2.5757174171303632e-14,150.0
89987000000,0,150.00000000000003,1.7319479184152442e-14,7.105427357601002e-15,1.532107773982716e-14,149.99999999999997,-1.4210854715202004e-14,7.105427357601002e-15,-1.4210854715202004e-14,150.0
89988000000,0,149.99999999999997,-1.9984014443252818e-14,-5.684341886080802e-14,-2.020605904817785e-14,150.0,-3.2862601528904634e-14,-5.684341886080802e-14,-3.2862601528904634e-14,150.0
89989000000,0,150.00000000000003,4.884981308350689e-15,2.1316282072803006e-14,1.887379141862766e-14,150.0,0.0,1.7763568394002505e-14,-1.7763568394002505e-15,150.0
89990000000,0,150.0,1.7541523789077473e-14,2.4868995751603507e-14,1.7541523789077473e-14,150.0,-1.7763568394002505e-14,2.1316282072803006e-14,-1.509903313490213e-14,149.99999999999997
89991000000,0,149.99999999999997,1.0436096431476471e-14,3.552713678800501e-15,-3.774758283725532e-15,149.99999999999997,-9.769962616701378e-15,3.552713678800501e-15,-9.769962616701378e-15,149.99999999999997
89992000000,0,149.99999999999997,-1.84297022087776e-14,0.0,-1.887379141862766e-14,149.99999999999997,6.217248937900877e-15,0.0,7.105427357601002e-15,149.99999999999997
89993000000,0,150.0,-1.7985612998927536e-14,3.552713678800501e-15,-1.7985612998927536e-14,149.99999999999997,-8.881784197001252e-16,3.552713678800501e-15,-1.7763568394002505e-15,149.99999999999997
89994000000,0,150.0000000000001,5.306866057708248e-14,-1.7763568394002505e-14,5.306866057708248e-14,149.99999999999986,5.329070518200751e-15,-1.7763568394002505e-14,4.440892098500626e-15,149.99999999999997
89995000000,0,150.0000000000001,-3.219646771412954e-14,3.907985046680551e-14,-3.219646771412954e-14,149.99999999999991,-3.9968028886505635e-14,3.907985046680551e-14,-4.085620730620576e-14,149.99999999999997
89996000000,0,149.99999999999997,-1.7985612998927536e-14,-1.4210854715202004e-14,-1.4432899320127035e-14,150.0,-2.5757174171303632e-14,-1.4210854715202004e-14,-2.7533531010703882e-14,149.99999999999997
89997000000,0,150.0,1.0436096431476471e-14,-7.105427357601002e-15,1.0436096431476471e-14,150.00000000000003,-4.440892098500626e-15,-7.105427357601002e-15,-2.6645352591003757e-15,149.99999999999997
89998000000,0,150.0,-1.7985612998927536e-14,3.552713678800501e-15,-1.0880185641326534e-14,150.0,6.217248937900877e-15,3.552713678800501e-15,6.217248937900877e-15,149.99999999999997
89999000000,0,150.00000000000003,6.8833827526759706e-15,7.105427357601002e-15,3.3306690738754696e-15,150.00000000000003,-2.6645352591003757e-15,7.105427357601002e-15,-4.440892098500626e-15,149.99999999999997
90000000000,0,149.99999999999994,4.4075854077618715e-14,2.4868995751603507e-14,4.4075854077618715e-14,150.00000000000009,-2.5757174171303632e-14,2.842170943040401e-14,-2.7533531010703882e-14,150.0
90001000000,0,149.9999999999998,3.353983757392598e-13,7.105427357601002e-14,3.353983757392598e-13,150.00000000000023,-1.8918200339612667e-13,7.460698725481052e-14,-1.900701818158268e-13,150.0
90002000000,0,150.0,-1.9872992140790302e-14,-1.0658141036401503e-14,-2.6978419498391304e-14,150.00000000000003,9.769962616701378e-15,-7.105427357601002e-15,9.769962616701378e-15,150.00000000000003
90003000000,0,149.99999999999997,-1.27675647831893e-14,1.7763568394002505e-14,-1.27675647831893e-14,150.00000000000003,1.7763568394002505e-14,2.1316282072803006e-14,1.509903313490213e-14,150.0
90004000000,0,150.0,-5.662137425588298e-15,1.4210854715202004e-14,-5.662137425588298e-15,150.00000000000003,1.7763568394002505e-15,1.7763568394002505e-14,8.881784197001252e-16,150.0
90005000000,0,150.0,-1.27675647831893e-14,3.552713678800501e-15,-1.27675647831893e-14,150.0,9.769962616701378e-15,7.105427357601002e-15,7.993605777301127e-15,150.0
90006000000,0,150.0,1.4432899320127035e-15,-1.0658141036401503e-14,8.548717289613705e-15,150.0,6.217248937900877e-15,-7.105427357601002e-15,4.440892098500626e-15,150.00000000000003
90007000000,0,150.0,-3.4083846855992306e-14,-1.7763568394002505e-14,-3.7636560534792807e-14,149.99999999999997,3.552713678800501e-15,-1.4210854715202004e-14,3.552713678800501e-15,150.00000000000003
90008000000,0,150.0,1.4432899320127035e-15,2.842170943040401e-14,4.9960036108132044e-15,149.99999999999997,5.062616992290714e-14,3.197442310920451e-14,5.062616992290714e-14,150.0
90009000000,0,149.99999999999997,-5.995204332975845e-15,0.0,-6.106226635438361e-15,150.0,2.6645352591003757e-15,0.0,2.6645352591003757e-15,149.99999999999997
90010000000,0,150.00000000000003,8.215650382226158e-15,2.1316282072803006e-14,8.104628079763643e-15,149.99999999999997,1.9539925233402755e-14,2.4868995751603507e-14,2.1316282072803006e-14,149.99999999999994
90011000000,0,150.0,8.215650382226158e-15,2.4868995751603507e-14,8.104628079763643e-15,149.99999999999997,2.5757174171303632e-14,2.4868995751603507e-14,2.5757174171303632e-14,149.99999999999994
90012000000,0,150.00000000000017,5.084821452783217e-14,5.186961971048731e-13,5.0737192225369654e-14,150.00000000000003,4.289901767151605e-13,5.151434834260726e-13,4.2721381987576024e-13,149.99999999999977
90013000000,0,150.00000000000003,1.1124434706744069e-13,6.394884621840902e-14,1.1113332476497817e-13,150.00000000000006,-3.9968028886505635e-14,6.394884621840902e-14,-3.9968028886505635e-14,149.99999999999994
90014000000,0,150.00000000000003,2.2426505097428162e-14,-4.263256414560601e-14,1.5210055437364645e-14,149.99999999999997,2.220446049250313e-14,-4.618527782440651e-14,2.4868995751603507e-14,149.99999999999997
90015000000,0,150.00000000000034,-1.6231460620019789e-13,3.907985046680551e-14,-1.624256285026604e-13,149.99999999999974,5.773159728050814e-14,4.263256414560601e-14,5.950795411990839e-14,149.99999999999994
90016000000,0,150.00000000000003,-5.10702591327572e-15,-7.105427357601002e-15,-5.218048215738236e-15,150.00000000000003,7.993605777301127e-15,-7.105427357601002e-15,7.993605777301127e-15,149.99999999999997
90017000000,0,150.0,-5.995204332975845e-15,-7.105427357601002e-15,8.104628079763643e-15,150.0,-9.769962616701378e-15,-3.552713678800501e-15,-9.769962616701378e-15,149.99999999999997
90018000000,0,149.99999999999994,8.215650382226158e-15,3.552713678800501e-15,-2.0317081350640365e-14,150.00000000000006,-6.217248937900877e-15,3.552713678800501e-15,-6.217248937900877e-15,149.99999999999997
90019000000,0,149.99999999999991,1.574296248918472e-13,5.684341886080802e-14,1.5021317523178368e-13,150.0000000000001,-2.5135449277513544e-13,5.684341886080802e-14,-2.504663143554353e-13,149.99999999999997
90020000000,0,149.99999999999997,-4.773959005888173e-15,7.105427357601002e-15,-1.1879386363489175e-14,150.0,1.7763568394002505e-15,3.552713678800501e-15,2.6645352591003757e-15,150.0
90021000000,0,150.0,-4.773959005888173e-15,1.4210854715202004e-14,-4.773959005888173e-15,149.99999999999997,2.4868995751603507e-14,1.4210854715202004e-14,2.6645352591003757e-14,150.0
90022000000,0,149.99999999999994,-4.773959005888173e-15,1.0658141036401503e-14,-4.773959005888173e-15,150.00000000000006,-1.509903313490213e-14,7.105427357601002e-15,-1.5987211554602254e-14,150.0
90023000000,0,149.99999999999997,9.43689570931383e-15,3.552713678800501e-15,-4.773959005888173e-15,149.99999999999997,-8.881784197001252e-16,0.0,0.0,150.0
90024000000,0,150.0,2.3647750424515834e-14,-1.0658141036401503e-14,2.3647750424515834e-14,150.0,1.1546319456101628e-14,-1.4210854715202004e-14,1.4210854715202004e-14,150.0
90025000000,0,150.0,-4.773959005888173e-15,3.552713678800501e-15,-4.773959005888173e-15,150.0,-1.865174681370263e-14,0.0,-1.7763568394002505e-14,150.0
90026000000,0,149.99999999999994,-4.773959005888173e-15,3.552713678800501e-15,-4.773959005888173e-15,150.0,8.881784197001252e-16,3.552713678800501e-15,-8.881784197001252e-16,150.0
90027000000,0,150.0,1.6542323066914832e-14,-1.4210854715202004e-14,1.6542323066914832e-14,150.0,4.440892098500626e-15,-1.4210854715202004e-14,7.105427357601002e-15,150.0
90028000000,0,150.00000000000006,-4.773959005888173e-15,-7.105427357601002e-15,-4.773959005888173e-15,149.99999999999997,4.440892098500626e-15,-1.0658141036401503e-14,3.552713678800501e-15,150.0
90029000000,0,150.0,9.43689570931383e-15,2.4868995751603507e-14,9.43689570931383e-15,150.0,3.552713678800501e-15,2.4868995751603507e-14,1.7763568394002505e-15,150.0
90030000000,0,150.0,-7.549516567451064e-15,-3.552713678800501e-15,-7.549516567451064e-15,150.0,-2.220446049250313e-14,-3.552713678800501e-15,-2.1760371282653068e-14,150.00000000000003
90031000000,0,150.00000000000003,-9.325873406851315e-15,-1.4210854715202004e-14,-1.2878587085651816e-14,150.00000000000003,-3.6415315207705135e-14,-1.0658141036401503e-14,-3.597122599785507e-14,150.00000000000006
90032000000,0,150.0,-3.774758283725532e-14,-1.4210854715202004e-13,-5.1958437552457326e-14,149.99999999999997,-1.0125233984581428e-13,-1.4566126083082054e-13,-1.0080825063596421e-13,150.00000000000009
90033000000,0,149.99999999999997,-2.353672812205332e-14,3.552713678800501e-15,-3.774758283725532e-14,150.0,-3.730349362740526e-14,0.0,-3.68594044175552e-14,150.00000000000006
90034000000,0,150.0,-5.773159728050814e-15,-4.263256414560601e-14,1.3322676295501878e-15,149.99999999999997,-1.554312234475219e-14,-3.907985046680551e-14,-1.509903313490213e-14,150.00000000000006
90035000000,0,149.99999999999994,4.884981308350689e-15,7.105427357601002e-15,4.884981308350689e-15,150.00000000000009,5.329070518200751e-15,7.105427357601002e-15,5.773159728050814e-15,150.00000000000003
90036000000,0,150.00000000000003,2.0872192862952943e-14,9.592326932761353e-14,2.0872192862952943e-14,150.0,-6.217248937900877e-14,9.237055564881302e-14,-6.17284001691587e-14,150.0
90037000000,0,150.00000000000003,4.884981308350689e-15,3.552713678800501e-15,4.884981308350689e-15,150.00000000000003,-1.7763568394002505e-14,3.552713678800501e-15,-1.7319479184152442e-14,150.00000000000003
90038000000,0,149.99999999999997,1.9095836023552692e-14,-2.1316282072803006e-14,1.9095836023552692e-14,150.0,5.3290705182007514e-14,-2.1316282072803006e-14,5.3734794391857577e-14,150.00000000000006
90039000000,0,150.00000000000003,-7.993605777301127e-15,4.263256414560601e-14,-7.993605777301127e-15,150.00000000000003,3.375077994860476e-14,3.907985046680551e-14,3.4638958368304884e-14,150.00000000000003
90039000000,0,150.00000000000003,2.1038726316646716e-14,7.105427357601002e-15,2.098321516541546e-14,150.00000000000003,6.217248937900877e-15,1.0658141036401503e-14,6.661338147750939e-15,149.99999999999997
90041000000,0,149.99999999999994,-1.4488410471358293e-14,2.842170943040401e-14,-1.454392162258955e-14,150.00000000000003,5.5067062021407764e-14,3.197442310920451e-14,5.284661597215745e-14,149.99999999999997
90042000000,0,150.0,2.1038726316646716e-14,1.7763568394002505e-14,2.808864252301646e-14,150.0,7.815970093361102e-14,2.1316282072803006e-14,8.126832540256146e-14,149.99999999999997
90043000000,0,150.00000000000003,2.8144153674247718e-14,3.552713678800501e-15,2.808864252301646e-14,149.99999999999997,8.881784197001252e-15,3.552713678800501e-15,9.325873406851315e-15,149.99999999999997
90044000000,0,149.99999999999991,-1.4238610290817633e-13,2.842170943040401e-14,-1.4244161405940758e-13,150.00000000000017,1.7763568394002505e-14,2.842170943040401e-14,1.9984014443252818e-14,149.99999999999997
90045000000,0,149.99999999999991,4.9460435747050724e-14,9.237055564881302e-14,4.2299497238218464e-14,150.00000000000009,-1.8118839761882555e-13,9.237055564881302e-14,-1.8340884366807586e-13,149.99999999999997
90045000000,0,149.99999999999997,2.8144153674247718e-14,-5.3290705182007514e-14,2.098321516541546e-14,150.0,-2.042810365310288e-14,-5.684341886080802e-14,-1.9095836023552692e-14,150.0
